cdmTableName,schema,isRequired,conceptPrefix,measurePersonCompleteness,measurePersonCompletenessThreshold,validation,tableDescription,userGuidance,etlConventions
PERSON,CDM,Yes,,No,,,,,
OBSERVATION_PERIOD,CDM,Yes,,Yes,0,,,,
VISIT_OCCURRENCE,CDM,No,VISIT_,Yes,0,,,,
CONDITION_OCCURRENCE,CDM,No,CONDITION_,Yes,0,,,,
DRUG_EXPOSURE,CDM,No,DRUG_,Yes,0,,,,
PROCEDURE_OCCURRENCE,CDM,No,PROCEDURE_,Yes,0,,,,
DEVICE_EXPOSURE,CDM,No,DEVICE_,Yes,0,,,,
MEASUREMENT,CDM,No,MEASUREMENT_,Yes,0,,,,
VISIT_DETAIL,CDM,No,VISIT_DETAIL_,Yes,0,,,,
NOTE,CDM,No,,Yes,0,,,,
NOTE_NLP,CDM,No,,No,,,,,
OBSERVATION,CDM,No,OBSERVATION_,Yes,0,,,,
SPECIMEN,CDM,No,SPECIMEN_,Yes,0,,,,
FACT_RELATIONSHIP,CDM,No,,No,,,,,
LOCATION,CDM,No,,No,,,,,
CARE_SITE,CDM,No,,No,,,,,
PROVIDER,CDM,No,,No,,,,,
PAYER_PLAN_PERIOD,CDM,No,,Yes,0,,,,
COST,CDM,No,,No,,,,,
DRUG_ERA,CDM,No,,Yes,0,,,,
DOSE_ERA,CDM,No,,Yes,0,,,,
CONDITION_ERA,CDM,No,,Yes,0,,,,
