calendarId,title,body,recurrenceRule,start,end,category,location,bgColor,color,borderColor
1,CDM WG Meeting,,,2023-01-03 10:00:00,2023-01-03 11:00:00,time,Teams: https://tinyurl.com/cdm1sttues,,,
2,CDM WG : Pregnancy,The Pregnancy and Maternal Medicine working group will present.,,2023-01-17 13:00:00,2023-01-17 14:00:00,time,Teams: https://tinyurl.com/cdm3rdtues,,,
1,CDM WG Meeting : NLP,The NLP working group will present some potential updates to the NOTE_NLP table.,,2023-02-07 10:00:00,2023-02-07 11:00:00,time,Teams: https://tinyurl.com/cdm1sttues,,,
2,CDM WG Meeting,,,2023-02-21 13:00:00,2023-02-21 14:00:00,time,Teams: https://tinyurl.com/cdm3rdtues,,,
1,CDM WG Meeting,,,2023-03-07 10:00:00,2023-03-07 11:00:00,time,Teams: https://tinyurl.com/cdm1sttues,,,
2,CDM WG Meeting,,,2023-03-21 13:00:00,2023-03-21 14:00:00,time,Teams: https://tinyurl.com/cdm3rdtues,,,
1,CDM WG Meeting,,,2023-04-04 10:00:00,2023-04-04 11:00:00,time,Teams: https://tinyurl.com/cdm1sttues,,,
2,CDM WG Meeting,,,2023-04-18 13:00:00,2023-04-18 14:00:00,time,Teams: https://tinyurl.com/cdm3rdtues,,,
1,CDM WG Meeting,,,2023-05-02 10:00:00,2023-05-02 11:00:00,time,Teams: https://tinyurl.com/cdm1sttues,,,
2,CDM WG Meeting,,,2023-05-16 13:00:00,2023-05-16 14:00:00,time,Teams: https://tinyurl.com/cdm3rdtues,,,
1,CDM WG Meeting,,,2023-06-06 10:00:00,2023-06-06 11:00:00,time,Teams: https://tinyurl.com/cdm1sttues,,,
2,CDM WG Meeting,,,2023-07-18 13:00:00,2023-07-18 14:00:00,time,Teams: https://tinyurl.com/cdm3rdtues,,,
1,CDM WG Meeting,,,2023-08-01 10:00:00,2023-08-01 11:00:00,time,Teams: https://tinyurl.com/cdm1sttues,,,
2,CDM WG Meeting,,,2023-08-15 13:00:00,2023-08-15 14:00:00,time,Teams: https://tinyurl.com/cdm3rdtues,,,
1,CDM WG Meeting,,,2023-09-05 10:00:00,2023-09-05 11:00:00,time,Teams: https://tinyurl.com/cdm1sttues,,,
2,CDM WG Meeting,,,2023-09-19 13:00:00,2023-09-19 14:00:00,time,Teams: https://tinyurl.com/cdm3rdtues,,,
1,CDM WG Meeting,,,2023-10-03 10:00:00,2023-10-03 11:00:00,time,Teams: https://tinyurl.com/cdm1sttues,,,
2,CDM WG Meeting,,,2023-10-17 13:00:00,2023-10-17 14:00:00,time,Teams: https://tinyurl.com/cdm3rdtues,,,
1,CDM WG Meeting,,,2023-11-07 10:00:00,2023-11-07 11:00:00,time,Teams: https://tinyurl.com/cdm1sttues,,,
2,CDM WG Meeting,,,2023-11-21 13:00:00,2023-11-21 14:00:00,time,Teams: https://tinyurl.com/cdm3rdtues,,,
1,CDM WG Meeting,,,2023-12-05 10:00:00,2023-12-05 11:00:00,time,Teams: https://tinyurl.com/cdm1sttues,,,
2,CDM WG Meeting,,,2023-12-19 13:00:00,2023-12-19 14:00:00,time,Teams: https://tinyurl.com/cdm3rdtues,,,
