schema,table,field,required,type,description,table,
cdm,condition_occurrence,condition_occurrence_id,Yes,INTEGER,A unique identifier for each Condition Occurrence event.,condition_occurrence,
cdm,condition_occurrence,person_id,Yes,INTEGER,A foreign key identifier to the Person who is experiencing the condition. The demographic details of that Person are stored in the PERSON table.,condition_occurrence,
cdm,condition_occurrence,condition_concept_id,Yes,INTEGER,A foreign key that refers to a Standard Condition Concept identifier in the Standardized Vocabularies.,condition_occurrence,
cdm,condition_occurrence,condition_start_date,Yes,DATE,The date when the instance of the Condition is recorded.,condition_occurrence,
cdm,condition_occurrence,condition_start_datetime,No,DATETIME,The date and time when the instance of the Condition is recorded.,condition_occurrence,
cdm,condition_occurrence,condition_end_date,No,DATE,The date when the instance of the Condition is considered to have ended.,condition_occurrence,
cdm,condition_occurrence,condition_end_datetime,No,DATE,The date when the instance of the Condition is considered to have ended.,condition_occurrence,
cdm,condition_occurrence,condition_type_concept_id,Yes,INTEGER,"A foreign key to the predefined Concept identifier in the Standardized Vocabularies reflecting the source data from which the condition was recorded, the level of standardization, and the type of occurrence.",condition_occurrence,
cdm,condition_occurrence,stop_reason,No,VARCHAR(20),"The reason that the condition was no longer present, as indicated in the source data.",condition_occurrence,
cdm,condition_occurrence,provider_id,No,INTEGER,A foreign key to the Provider in the PROVIDER table who was responsible for capturing (diagnosing) the Condition.,condition_occurrence,
cdm,condition_occurrence,visit_occurrence_id,No,INTEGER,A foreign key to the visit in the VISIT_OCCURRENCE table during which the Condition was determined (diagnosed).,condition_occurrence,
cdm,condition_occurrence,condition_source_value,No,VARCHAR(50),The source code for the condition as it appears in the source data. This code is mapped to a standard condition concept in the Standardized Vocabularies and the original code is stored here for reference.,condition_occurrence,
cdm,condition_occurrence,condition_source_concept_id,No,INTEGER,A foreign key to a Condition Concept that refers to the code used in the source.,condition_occurrence,
cdm,condition_occurrence,condition_status_source_value,No,VARCHAR(50),The source code for the condition status as it appears in the source data.,condition_occurrence,
cdm,condition_occurrence,condition_status_concept_id,No,INTEGER,A foreign key to the predefined Concept in the Standard Vocabulary reflecting the condition status,condition_occurrence,
cdm,death,person_id,Yes,INTEGER,A foreign key identifier to the deceased person. The demographic details of that person are stored in the person table.,death,
cdm,death,death_date,Yes,DATE,"The date the person was deceased. If the precise date including day or month is not known or not allowed, December is used as the default month, and the last day of the month the default day.",death,
cdm,death,death_datetime,No,DATETIME,"The date and time the person was deceased. If the precise date including day or month is not known or not allowed, December is used as the default month, and the last day of the month the default day.",death,
cdm,death,death_type_concept_id,Yes,INTEGER,A foreign key referring to the predefined concept identifier in the Standardized Vocabularies reflecting how the death was represented in the source data.,death,
cdm,death,cause_concept_id,No,INTEGER,A foreign key referring to a standard concept identifier in the Standardized Vocabularies for conditions.,death,
cdm,death,cause_source_value,No,VARCHAR(50),"The source code for the cause of death as it appears in the source data. This code is mapped to a standard concept in the Standardized Vocabularies and the original code is, stored here for reference.",death,
cdm,death,cause_source_concept_id,No,INTEGER,"A foreign key to the concept that refers to the code used in the source. Note, this variable name is abbreviated to ensure it will be allowable across database platforms.",death,
cdm,device_exposure,device_exposure_id,Yes,INTEGER,A system-generated unique identifier for each Device Exposure.,device_exposure,
cdm,device_exposure,person_id,Yes,INTEGER,A foreign key identifier to the Person who is subjected to the Device. The demographic details of that person are stored in the Person table.,device_exposure,
cdm,device_exposure,device_concept_id,Yes,INTEGER,A foreign key that refers to a Standard Concept identifier in the Standardized Vocabularies for the Device concept.,device_exposure,
cdm,device_exposure,device_exposure_start_date,Yes,DATE,The date the Device or supply was applied or used.,device_exposure,
cdm,device_exposure,device_exposure_start_datetime,No,DATETIME,The date and time the Device or supply was applied or used.,device_exposure,
cdm,device_exposure,device_exposure_end_date,No,DATE,The date the Device or supply was removed from use.,device_exposure,
cdm,device_exposure,device_exposure_end_datetime,No,DATETIME,The date and time the Device or supply was removed from use.,device_exposure,
cdm,device_exposure,device_type_concept_id,Yes,INTEGER,A foreign key to the predefined Concept identifier in the Standardized Vocabularies reflecting the type of Device Exposure recorded. It indicates how the Device Exposure was represented in the source data.,device_exposure,
cdm,device_exposure,unique_device_id,No,VARCHAR(50),A UDI or equivalent identifying the instance of the Device used in the Person.,device_exposure,
cdm,device_exposure,quantity,No,INTEGER,The number of individual Devices used for the exposure.,device_exposure,
cdm,device_exposure,provider_id,No,INTEGER,A foreign key to the provider in the PROVIDER table who initiated of administered the Device.,device_exposure,
cdm,device_exposure,visit_occurrence_id,No,INTEGER,A foreign key to the visit in the VISIT_OCCURRENCE table during which the device was used.,device_exposure,
cdm,device_exposure,device_source_value,No,VARCHAR(50),The source code for the Device as it appears in the source data. This code is mapped to a standard Device Concept in the Standardized Vocabularies and the original code is stored here for reference.,device_exposure,
cdm,device_exposure,device_source_concept_id,No,INTEGER,A foreign key to a Device Concept that refers to the code used in the source.,device_exposure,
cdm,drug_exposure,drug_exposure_id,Yes,INTEGER,A system-generated unique identifier for each Drug utilization event.,drug_exposure,
cdm,drug_exposure,person_id,Yes,INTEGER,A foreign key identifier to the person who is subjected to the Drug. The demographic details of that person are stored in the person table.,drug_exposure,
cdm,drug_exposure,drug_concept_id,Yes,INTEGER,A foreign key that refers to a Standard Concept identifier in the Standardized Vocabularies for the Drug concept.,drug_exposure,
cdm,drug_exposure,drug_exposure_start_date,Yes,DATE,"The start date for the current instance of Drug utilization. Valid entries include a start date of a prescription, the date a prescription was filled, or the date on which a Drug administration procedure was recorded.",drug_exposure,
cdm,drug_exposure,drug_exposure_start_datetime,No,DATETIME,"The start date and time for the current instance of Drug utilization. Valid entries include a start date of a prescription, the date a prescription was filled, or the date on which a Drug administration procedure was recorded.",drug_exposure,
cdm,drug_exposure,drug_exposure_end_date,Yes,DATE,The end date for the current instance of Drug utilization. It is not available from all sources.,drug_exposure,
cdm,drug_exposure,drug_exposure_end_datetime,No,DATETIME,The end date and time for the current instance of Drug utilization. It is not available from all sources.,drug_exposure,
cdm,drug_exposure,verbatim_end_date,No,DATE,The known end date of a drug_exposure as provided by the source,drug_exposure,
cdm,drug_exposure,drug_type_concept_id,Yes,INTEGER,A foreign key to the predefined Concept identifier in the Standardized Vocabularies reflecting the type of Drug Exposure recorded. It indicates how the Drug Exposure was represented in the source data.,drug_exposure,
cdm,drug_exposure,stop_reason,No,VARCHAR(20),"The reason the Drug was stopped. Reasons include regimen completed, changed, removed, etc.",drug_exposure,
cdm,drug_exposure,refills,No,INTEGER,"The number of refills after the initial prescription. The initial prescription is not counted, values start with 0.",drug_exposure,
cdm,drug_exposure,quantity,No,FLOAT,The quantity of drug as recorded in the original prescription or dispensing record.,drug_exposure,
cdm,drug_exposure,days_supply,No,INTEGER,The number of days of supply of the medication as recorded in the original prescription or dispensing record.,drug_exposure,
cdm,drug_exposure,sig,No,VARCHAR(MAX),"The directions (""signetur"") on the Drug prescription as recorded in the original prescription (and printed on the container) or dispensing record.",drug_exposure,
cdm,drug_exposure,route_concept_id,No,INTEGER,A foreign key to a predefined concept in the Standardized Vocabularies reflecting the route of administration.,drug_exposure,
cdm,drug_exposure,lot_number,No,VARCHAR(50),An identifier assigned to a particular quantity or lot of Drug product from the manufacturer.,drug_exposure,
cdm,drug_exposure,provider_id,No,INTEGER,A foreign key to the provider in the PROVIDER table who initiated (prescribed or administered) the Drug Exposure.,drug_exposure,
cdm,drug_exposure,visit_occurrence_id,No,INTEGER,A foreign key to the Visit in the VISIT_OCCURRENCE table during which the Drug Exposure was initiated.,drug_exposure,
cdm,drug_exposure,drug_source_value,No,VARCHAR(50),"The source code for the Drug as it appears in the source data. This code is mapped to a Standard Drug concept in the Standardized Vocabularies and the original code is, stored here for reference.",drug_exposure,
cdm,drug_exposure,drug_source_concept_id,No,INTEGER,A foreign key to a Drug Concept that refers to the code used in the source.,drug_exposure,
cdm,drug_exposure,route_source_value,No,VARCHAR(50),The information about the route of administration as detailed in the source.,drug_exposure,
cdm,drug_exposure,dose_unit_source_value,No,VARCHAR(50),The information about the dose unit as detailed in the source.,drug_exposure,
cdm,fact_relationship,domain_concept_id_1,Yes,INTEGER,"The concept representing the domain of fact one, from which the corresponding table can be inferred.",fact_relationship,
cdm,fact_relationship,fact_id_1,Yes,INTEGER,The unique identifier in the table corresponding to the domain of fact one.,fact_relationship,
cdm,fact_relationship,domain_concept_id_2,Yes,INTEGER,"The concept representing the domain of fact two, from which the corresponding table can be inferred.",fact_relationship,
cdm,fact_relationship,fact_id_2,Yes,INTEGER,The unique identifier in the table corresponding to the domain of fact two.,fact_relationship,
cdm,fact_relationship,relationship_concept_id,Yes,INTEGER,A foreign key to a Standard Concept ID of relationship in the Standardized Vocabularies.,fact_relationship,
cdm,measurement,measurement_id,Yes,INTEGER,A unique identifier for each Measurement.,measurement,
cdm,measurement,person_id,Yes,INTEGER,A foreign key identifier to the Person about whom the measurement was recorded. The demographic details of that Person are stored in the PERSON table.,measurement,
cdm,measurement,measurement_concept_id,Yes,INTEGER,A foreign key to the standard measurement concept identifier in the Standardized Vocabularies.,measurement,
cdm,measurement,measurement_date,Yes,DATE,The date of the Measurement.,measurement,
cdm,measurement,measurement_datetime,No,DATETIME,"The date and time of the Measurement. Some database systems don't have a datatype of time. To accomodate all temporal analyses, datatype datetime can be used (combining measurement_date and measurement_time [forum discussion](http://forums.ohdsi.org/t/date-time-and-datetime-problem-and-the-world-of-hours-and-1day/314))",measurement,
cdm,measurement,measurement_type_concept_id,Yes,INTEGER,A foreign key to the predefined Concept in the Standardized Vocabularies reflecting the provenance from where the Measurement record was recorded.,measurement,
cdm,measurement,operator_concept_id,No,INTEGER,"A foreign key identifier to the predefined Concept in the Standardized Vocabularies reflecting the mathematical operator that is applied to the value_as_number. Operators are <, <=, =, >=, >.",measurement,
cdm,measurement,value_as_number,No,FLOAT,A Measurement result where the result is expressed as a numeric value.,measurement,
cdm,measurement,value_as_concept_id,No,INTEGER,"A foreign key to a Measurement result represented as a Concept from the Standardized Vocabularies (e.g., positive/negative, present/absent, low/high, etc.).",measurement,
cdm,measurement,unit_concept_id,No,INTEGER,A foreign key to a Standard Concept ID of Measurement Units in the Standardized Vocabularies.,measurement,
cdm,measurement,range_low,No,FLOAT,The lower limit of the normal range of the Measurement result. The lower range is assumed to be of the same unit of measure as the Measurement value.,measurement,
cdm,measurement,range_high,No,FLOAT,The upper limit of the normal range of the Measurement. The upper range is assumed to be of the same unit of measure as the Measurement value.,measurement,
cdm,measurement,provider_id,No,INTEGER,A foreign key to the provider in the PROVIDER table who was responsible for initiating or obtaining the measurement.,measurement,
cdm,measurement,visit_occurrence_id,No,INTEGER,A foreign key to the Visit in the VISIT_OCCURRENCE table during which the Measurement was recorded.,measurement,
cdm,measurement,measurement_source_value,No,VARCHAR(50),The Measurement name as it appears in the source data. This code is mapped to a Standard Concept in the Standardized Vocabularies and the original code is stored here for reference.,measurement,
cdm,measurement,measurement_source_concept_id,No,INTEGER,A foreign key to a Concept in the Standard Vocabularies that refers to the code used in the source.,measurement,
cdm,measurement,unit_source_value,No,VARCHAR(50),The source code for the unit as it appears in the source data. This code is mapped to a standard unit concept in the Standardized Vocabularies and the original code is stored here for reference.,measurement,
cdm,measurement,value_source_value,No,VARCHAR(50),The source value associated with the content of the value_as_number or value_as_concept_id as stored in the source data.,measurement,
cdm,note,note_id,Yes,INTEGER,A unique identifier for each note.,note,
cdm,note,person_id,Yes,INTEGER,A foreign key identifier to the Person about whom the Note was recorded. The demographic details of that Person are stored in the PERSON table.,note,
cdm,note,note_date,Yes,DATE,The date the note was recorded.,note,
cdm,note,note_datetime,No,DATETIME,The date and time the note was recorded.,note,
cdm,note,note_type_concept_id,Yes,INTEGER,"A foreign key to the predefined Concept in the Standardized Vocabularies reflecting the type, origin or provenance of the Note.",note,
cdm,note,note_class_concept_id,Yes,INTEGER,A foreign key to the predefined Concept in the Standardized Vocabularies reflecting the HL7 LOINC Document Type Vocabulary classification of the note.,note,
cdm,note,note_title,No,VARCHAR(250),The title of the Note as it appears in the source.,note,
cdm,note,note_text,Yes,VARCHAR(MAX),The content of the Note.,note,
cdm,note,encoding_concept_id,Yes,INTEGER,A foreign key to the predefined Concept in the Standardized Vocabularies reflecting the note character encoding type,note,
cdm,note,language_concept_id,Yes,INTEGER,A foreign key to the predefined Concept in the Standardized Vocabularies reflecting the language of the note,note,
cdm,note,provider_id,No,INTEGER,A foreign key to the Provider in the PROVIDER table who took the Note.,note,
cdm,note,note_source_value,No,VARCHAR(50),The source value associated with the origin of the Note,note,
cdm,note,visit_occurrence_id,No,INTEGER,A foreign key to the Visit in the VISIT_OCCURRENCE table when the Note was taken.,note,
cdm,note_nlp,note_nlp_id,Yes,INTEGER,A unique identifier for each term extracted from a note.,note_nlp,
cdm,note_nlp,note_id,Yes,INTEGER,A foreign key to the Note table note the term was extracted from.,note_nlp,
cdm,note_nlp,section_concept_id,No,INTEGER,A foreign key to the predefined Concept in the Standardized Vocabularies representing the section of the extracted term.,note_nlp,
cdm,note_nlp,snippet,No,VARCHAR(250),A small window of text surrounding the term.,note_nlp,
cdm,note_nlp,offset,No,VARCHAR(50),Character offset of the extracted term in the input note.,note_nlp,
cdm,note_nlp,lexical_variant,Yes,VARCHAR(250),Raw text extracted from the NLP tool.,note_nlp,
cdm,note_nlp,note_nlp_concept_id,No,INTEGER,A foreign key to the predefined Concept in the Standardized Vocabularies reflecting the normalized concept for the extracted term. Domain of the term is represented as part of the Concept table.,note_nlp,
