
table_name            | column_name                    | status             
----------------------+--------------------------------+--------------------
care_site             | care_site_id                   | IN BOTH            
care_site             | place_of_service_concept_id    | IN BOTH            
care_site             | location_id                    | IN BOTH            
care_site             | care_site_name                 | IN BOTH            
care_site             | care_site_source_value         | IN BOTH            
care_site             | place_of_service_source_value  | IN BOTH            
cdm_source            | cdm_source_name                | IN BOTH            
cdm_source            | cdm_source_abbreviation        | IN BOTH            
cdm_source            | cdm_holder                     | IN BOTH            
cdm_source            | source_description             | IN BOTH            
cdm_source            | source_documentation_reference | IN BOTH            
cdm_source            | cdm_etl_reference              | IN BOTH            
cdm_source            | source_release_date            | IN BOTH            
cdm_source            | cdm_release_date               | IN BOTH            
cdm_source            | cdm_version                    | IN BOTH            
cdm_source            | vocabulary_version             | IN BOTH            
cdm_source            | cdm_version_concept_id         | MISSING FROM v6.0.1
concept               | concept_id                     | IN BOTH            
concept               | valid_start_date               | IN BOTH            
concept               | valid_end_date                 | IN BOTH            
concept               | concept_name                   | IN BOTH            
concept               | domain_id                      | IN BOTH            
concept               | vocabulary_id                  | IN BOTH            
concept               | concept_class_id               | IN BOTH            
concept               | standard_concept               | IN BOTH            
concept               | concept_code                   | IN BOTH            
concept               | invalid_reason                 | IN BOTH            
concept_ancestor      | ancestor_concept_id            | IN BOTH            
concept_ancestor      | descendant_concept_id          | IN BOTH            
concept_ancestor      | min_levels_of_separation       | IN BOTH            
concept_ancestor      | max_levels_of_separation       | IN BOTH            
concept_class         | concept_class_concept_id       | IN BOTH            
concept_class         | concept_class_id               | IN BOTH            
concept_class         | concept_class_name             | IN BOTH            
concept_relationship  | concept_id_1                   | IN BOTH            
concept_relationship  | concept_id_2                   | IN BOTH            
concept_relationship  | valid_start_date               | IN BOTH            
concept_relationship  | valid_end_date                 | IN BOTH            
concept_relationship  | relationship_id                | IN BOTH            
concept_relationship  | invalid_reason                 | IN BOTH            
concept_synonym       | concept_id                     | IN BOTH            
concept_synonym       | language_concept_id            | IN BOTH            
concept_synonym       | concept_synonym_name           | IN BOTH            
condition_era         | condition_era_id               | IN BOTH            
condition_era         | person_id                      | IN BOTH            
condition_era         | condition_concept_id           | IN BOTH            
condition_era         | condition_occurrence_count     | IN BOTH            
condition_era         | condition_era_start_datetime   | MISSING FROM v5.4.0
condition_era         | condition_era_end_datetime     | MISSING FROM v5.4.0
condition_era         | condition_era_start_date       | MISSING FROM v6.0.1
condition_era         | condition_era_end_date         | MISSING FROM v6.0.1
condition_occurrence  | condition_occurrence_id        | IN BOTH            
condition_occurrence  | person_id                      | IN BOTH            
condition_occurrence  | condition_concept_id           | IN BOTH            
condition_occurrence  | condition_start_date           | IN BOTH            
condition_occurrence  | condition_start_datetime       | IN BOTH            
condition_occurrence  | condition_end_date             | IN BOTH            
condition_occurrence  | condition_end_datetime         | IN BOTH            
condition_occurrence  | condition_type_concept_id      | IN BOTH            
condition_occurrence  | provider_id                    | IN BOTH            
condition_occurrence  | visit_occurrence_id            | IN BOTH            
condition_occurrence  | visit_detail_id                | IN BOTH            
condition_occurrence  | condition_source_concept_id    | IN BOTH            
condition_occurrence  | condition_status_concept_id    | IN BOTH            
