table_name            | column_name                    | v54_nullable | v60_nullable | v54_datatype                | v60_datatype               
----------------------+--------------------------------+--------------+--------------+-----------------------------+----------------------------
care_site             | care_site_id                   | YES          | NO           | bigint                      | bigint                     
care_site             | place_of_service_concept_id    | YES          | NO           | integer                     | integer                    
cdm_source            | cdm_holder                     | NO           | YES          | character varying           | character varying          
cdm_source            | cdm_release_date               | NO           | YES          | date                        | date                       
cdm_source            | cdm_source_abbreviation        | NO           | YES          | character varying           | character varying          
cdm_source            | source_release_date            | NO           | YES          | date                        | date                       
cdm_source            | vocabulary_version             | NO           | YES          | character varying           | character varying          
concept               | concept_class_id               | YES          | NO           | character varying           | character varying          
concept               | concept_code                   | YES          | NO           | character varying           | character varying          
concept               | concept_id                     | YES          | NO           | integer                     | integer                    
concept               | concept_name                   | YES          | NO           | character varying           | character varying          
concept               | domain_id                      | YES          | NO           | character varying           | character varying          
concept               | valid_end_date                 | YES          | NO           | date                        | date                       
concept               | valid_start_date               | YES          | NO           | date                        | date                       
concept               | vocabulary_id                  | YES          | NO           | character varying           | character varying          
concept_ancestor      | ancestor_concept_id            | YES          | NO           | integer                     | integer                    
concept_ancestor      | descendant_concept_id          | YES          | NO           | integer                     | integer                    
concept_ancestor      | max_levels_of_separation       | YES          | NO           | integer                     | integer                    
concept_ancestor      | min_levels_of_separation       | YES          | NO           | integer                     | integer                    
concept_class         | concept_class_concept_id       | YES          | NO           | integer                     | integer                    
concept_class         | concept_class_id               | YES          | NO           | character varying           | character varying          
concept_class         | concept_class_name             | YES          | NO           | character varying           | character varying          
concept_relationship  | concept_id_1                   | YES          | NO           | integer                     | integer                    
concept_relationship  | concept_id_2                   | YES          | NO           | integer                     | integer                    
concept_relationship  | relationship_id                | YES          | NO           | character varying           | character varying          
concept_relationship  | valid_end_date                 | YES          | NO           | date                        | date                       
concept_relationship  | valid_start_date               | YES          | NO           | date                        | date                       
concept_synonym       | concept_id                     | YES          | NO           | integer                     | integer                    
concept_synonym       | concept_synonym_name           | YES          | NO           | character varying           | character varying          
concept_synonym       | language_concept_id            | YES          | NO           | integer                     | integer                    
condition_era         | condition_concept_id           | YES          | NO           | integer                     | integer                    
condition_era         | condition_era_id               | YES          | NO           | bigint                      | bigint                     
condition_era         | person_id                      | YES          | NO           | bigint                      | bigint                     
condition_occurrence  | condition_concept_id           | YES          | NO           | integer                     | integer                    
condition_occurrence  | condition_occurrence_id        | YES          | NO           | bigint                      | bigint                     
condition_occurrence  | condition_source_concept_id    | YES          | NO           | integer                     | integer                    
condition_occurrence  | condition_start_date           | YES          | NO           | date                        | date                       
condition_occurrence  | condition_status_concept_id    | YES          | NO           | integer                     | integer                    
condition_occurrence  | condition_type_concept_id      | YES          | NO           | integer                     | integer                    
condition_occurrence  | person_id                      | YES          | NO           | bigint                      | bigint                     
cost                  | cost_event_id                  | YES          | NO           | bigint                      | bigint                     
cost                  | cost_id                        | YES          | NO           | bigint                      | bigint                     
cost                  | payer_plan_period_id           | YES          | YES          | integer                     | bigint                     
device_exposure       | device_concept_id              | YES          | NO           | integer                     | integer                    
device_exposure       | device_exposure_id             | YES          | NO           | bigint                      | bigint                     
device_exposure       | device_exposure_start_date     | YES          | NO           | date                        | date                       
device_exposure       | device_source_concept_id       | YES          | NO           | integer                     | integer                    
device_exposure       | device_type_concept_id         | YES          | NO           | integer                     | integer                    
device_exposure       | person_id                      | YES          | NO           | bigint                      | bigint                     
domain                | domain_concept_id              | YES          | NO           | integer                     | integer                    
domain                | domain_id                      | YES          | NO           | character varying           | character varying          
domain                | domain_name                    | YES          | NO           | character varying           | character varying          
dose_era              | dose_era_id                    | YES          | NO           | bigint                      | bigint                     
dose_era              | dose_value                     | YES          | NO           | double precision            | double precision           
dose_era              | drug_concept_id                | YES          | NO           | integer                     | integer                    
dose_era              | person_id                      | YES          | NO           | bigint                      | bigint                     
dose_era              | unit_concept_id                | YES          | NO           | integer                     | integer                    
drug_era              | drug_concept_id                | YES          | NO           | integer                     | integer                    
drug_era              | drug_era_id                    | YES          | NO           | bigint                      | bigint                     
drug_era              | person_id                      | YES          | NO           | bigint                      | bigint                     
drug_exposure         | drug_concept_id                | YES          | NO           | integer                     | integer                    
drug_exposure         | drug_exposure_end_date         | YES          | NO           | date                        | date                       
drug_exposure         | drug_exposure_id               | YES          | NO           | bigint                      | bigint                     
drug_exposure         | drug_exposure_start_date       | YES          | NO           | date                        | date                       
